"school_dbn","mean_algebra2","mean_english","school_name","percent_of_teachers_with_3_or_more_years_of_experience","percent_of_students_chronically_absent","rigorous_instruction_percent_positive","supportive_environment_percent_positive","economic_need_index"
"01M448",67.26865387,68.48629761,"University Neighborhood High School",0.419,0.252,0.87,0.82,0.825
"01M509",62,58.06896591,"Marta Valle High School",0.429,0.631,0.64,0.61,0.823
"02M296",62.5,77.19779968,"High School of Hospitality Management",0.724,0.445,0.84,0.73,0.86
"02M298",60.80263138,78.7857132,"Pace High School",0.795,0.446,0.73,0.68,0.748
"02M300",54.2857132,75.55421448,"Urban Assembly School of Design and Construction,",0.6,0.621,0.76,0.69,0.87
"02M305",61.6875,75.66666412,"Urban Assembly Academy of Government and Law, The",0.48,0.471,0.84,0.7,0.854
"02M308",56.33333206,71.16176605,"Lower Manhattan Arts Academy",0.731,0.418,0.78,0.69,0.817
"02M316",49.29999924,67.44068146,"Urban Assembly School of Business for Young Women,",0.438,0.614,0.77,0.63,0.8
"02M374",67.44186401,77.58015442,"Gramercy Arts High School",0.6,0.376,0.79,0.67,0.761
"02M392",61.07407379,72.52474976,"MANHATTAN BUSINESS ACADEMY",0.563,0.438,0.8,0.73,0.806
"02M399",59.45762634,67.23893738,"The High School For Language And Diplomacy",0.48,0.538,0.75,0.58,0.821
"02M400",73.58119965,72.21121979,"High School for Environmental Studies",0.781,0.417,0.8,0.7,0.797
"02M411",78.60360718,87.24324036,"Baruch College Campus High School",0.786,0.078,0.8,0.78,0.398
"02M412",76.41259003,89.67796326,"N.Y.C. Lab School for Collaborative Studies",0.829,0.158,0.89,0.8,0.334
"02M414",75.96808624,86.41836548,"N.Y.C. Museum School",0.792,0.214,0.71,0.66,0.639
"02M416",80.86060333,93.3968277,"Eleanor Roosevelt High School",0.844,0.081,0.88,0.86,0.238
"02M418",84.63461304,87.86956787,"Millennium High School",0.895,0.102,0.86,0.81,0.485
"02M420",73.50558472,78.70063782,"High School for Health Professions and Human Servi",0.804,0.258,0.82,0.79,0.761
"02M425",69.09999847,71.07182312,"Leadership and Public Service High School",0.833,0.489,0.79,0.75,0.834
"02M427",66.30769348,64.0978241,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",0.739,0.43,0.85,0.75,0.948
"02M437",50.65714264,68.56060791,"Hudson High School of Learning Technologies",0.882,0.505,0.77,0.7,0.826
"02M439",80.26890564,86.04586792,"Manhattan Village Academy",0.679,0.026,0.87,0.83,0.684
